id,first_name,last_name,gender,age,education_level,job_building_id,salary,home_building_id,wealth_level,supported_faction_id,is_rebel,happiness_total
1,El Presidente,Tropico,M,45,College,1,100.00,1,Rich,1,f,100
2,Penultimo,Segretario,M,35,HighSchool,1,20.00,1,Well-off,3,f,80
3,Ricardo,Gomez,M,27,Illiterate,2,8.00,5,Poor,2,f,58
4,Maria,Cruz,F,35,Illiterate,2,8.00,5,Poor,2,f,55
5,Javier,Morales,M,41,Illiterate,2,8.00,6,Poor,4,f,48
6,Sofia,Reyes,F,22,GradeSchool,2,9.00,6,Poor,1,f,65
7,Carlos,Diaz,M,33,Illiterate,3,8.00,,Broke,3,f,41
8,Lucia,Castillo,F,29,GradeSchool,3,9.00,,Broke,4,f,58
9,Miguel,Ortega,M,50,Illiterate,3,8.00,,Broke,2,f,39
10,Isabella,Perez,F,19,GradeSchool,3,9.00,,Broke,1,f,61
11,Alejandro,Santos,M,25,Illiterate,4,10.00,,Poor,1,f,68
12,Valeria,Jimenez,F,38,GradeSchool,4,11.00,,Poor,4,f,61
13,Hector,Moreno,M,45,Illiterate,4,10.00,,Broke,3,t,15
14,Elena,Ruiz,F,62,Illiterate,4,10.00,,Broke,4,f,33
15,Fidel,Castro,M,55,College,,0.00,,Poor,2,f,50
16,Eva,Peron,F,33,HighSchool,,0.00,,Well-off,2,f,68
17,Augusto,Pinochet,M,65,College,,0.00,,Rich,3,f,45
18,Frida,Kahlo,F,47,College,,0.00,,Well-off,2,f,75
19,Diego,Rivera,M,58,College,,0.00,,Well-off,2,f,73
20,Penelope,Cruz,F,28,HighSchool,,0.00,,Poor,1,f,62
21,Antonio,Banderas,M,42,HighSchool,,0.00,,Poor,1,f,66
22,Juan,Garcia,M,25,GradeSchool,,0.00,,Poor,2,f,52
23,Carmen,Rodriguez,F,41,Illiterate,,0.00,,Broke,4,f,43
24,Jose,Martinez,M,36,HighSchool,,0.00,,Poor,1,f,58
25,Ana,Lopez,F,22,HighSchool,,0.00,,Poor,1,f,61
26,Francisco,Hernandez,M,53,Illiterate,,0.00,,Broke,3,f,38
27,Laura,Gonzalez,F,30,GradeSchool,,0.00,,Poor,4,f,55
28,David,Sanchez,M,28,College,,0.00,,Well-off,1,f,70
29,Paula,Romero,F,19,GradeSchool,,0.00,,Poor,2,f,49
30,Daniel,Sosa,M,48,Illiterate,,0.00,,Broke,3,t,20
31,Sara,Navarro,F,34,HighSchool,,0.00,,Poor,1,f,64
32,Javier,Gomez,M,54,Illiterate,,0.00,,Broke,3,f,34
33,Ricardo,Perez,M,63,Illiterate,,0.00,,Broke,1,f,51
34,Che,Gomez,M,24,HighSchool,,0.00,,Poor,1,f,61
35,Maria,Cruz,F,67,Illiterate,,0.00,,Broke,2,f,28
36,Eva,Ramirez,F,29,GradeSchool,,0.00,,Broke,2,f,33
37,Valeria,Morales,F,41,GradeSchool,,0.00,,Poor,4,f,53
38,Marta,Perez,F,28,HighSchool,,0.00,,Poor,1,f,49
39,Raul,Gomez,M,51,GradeSchool,,0.00,,Broke,3,f,64
40,Elena,Gomez,F,58,Illiterate,,0.00,,Broke,3,f,69
41,Javier,Gomez,M,23,HighSchool,,0.00,,Poor,2,f,31
42,Maria,Castillo,F,78,Illiterate,,0.00,,Broke,3,f,30
43,Valeria,Gomez,F,28,HighSchool,,0.00,,Well-off,4,f,50
44,Hector,Diaz,M,67,Illiterate,,0.00,,Broke,3,f,52
45,Francisco,Cruz,M,48,GradeSchool,,0.00,,Poor,3,f,24
46,Ricardo,Perez,M,79,Illiterate,,0.00,,Broke,4,f,33
47,Isabella,Diaz,F,29,HighSchool,,0.00,,Poor,1,f,61
48,Manuel,Gomez,M,41,Illiterate,,0.00,,Broke,3,f,48
49,Carlos,Perez,M,78,Illiterate,,0.00,,Broke,4,f,44
50,Juana,Gomez,F,29,HighSchool,,0.00,,Poor,2,f,61
51,Ana,Perez,F,51,Illiterate,,0.00,,Broke,4,f,71
52,Antonio,Gomez,M,61,Illiterate,,0.00,,Broke,1,f,44
53,Che,Perez,M,42,Illiterate,,0.00,,Broke,3,f,68
54,Maria,Cruz,F,58,GradeSchool,,0.00,,Poor,2,f,56
55,Javier,Castillo,M,28,HighSchool,,0.00,,Poor,4,f,39
56,Valeria,Gomez,F,31,GradeSchool,,0.00,,Poor,1,f,50
57,Carlos,Perez,M,37,GradeSchool,,0.00,,Poor,1,f,61
58,Eva,Diaz,F,37,GradeSchool,,0.00,,Poor,4,f,32
59,Isabella,Perez,F,29,GradeSchool,,0.00,,Poor,1,f,41
60,Frida,Castillo,F,24,HighSchool,,0.00,,Poor,1,f,66
61,Ricardo,Cruz,M,28,HighSchool,,0.00,,Poor,3,f,71
62,Marta,Gomez,F,78,Illiterate,,0.00,,Broke,2,f,63
63,Javier,Diaz,M,28,HighSchool,,0.00,,Poor,2,f,30
64,Che,Perez,M,25,HighSchool,,0.00,,Well-off,1,f,33
65,Antonio,Castillo,M,31,GradeSchool,,0.00,,Poor,4,f,60
66,Ricardo,Diaz,M,25,HighSchool,,0.00,,Well-off,3,f,35
67,Ricardo,Perez,M,20,GradeSchool,,0.00,,Poor,2,f,48
68,Maria,Gomez,F,32,GradeSchool,,0.00,,Broke,3,f,67
69,Che,Castillo,M,61,Illiterate,,0.00,,Broke,1,f,68
70,Raul,Perez,M,41,Illiterate,,0.00,,Broke,4,f,24
71,Eva,Diaz,F,51,GradeSchool,,0.00,,Poor,2,f,29
72,Javier,Gomez,M,28,HighSchool,,0.00,,Poor,1,f,63
73,Maria,Castillo,F,25,HighSchool,,0.00,,Poor,4,f,55
74,Ricardo,Diaz,M,69,Illiterate,,0.00,,Broke,2,f,31
75,Valeria,Perez,F,29,HighSchool,,0.00,,Poor,2,f,30
76,Marta,Gomez,F,44,Illiterate,,0.00,,Broke,1,f,48
77,Antonio,Cruz,M,54,Illiterate,,0.00,,Broke,2,f,49
78,Che,Diaz,M,28,HighSchool,,0.00,,Poor,3,f,37
79,Javier,Castillo,M,79,Illiterate,,0.00,,Broke,1,f,39
80,Frida,Gomez,F,51,GradeSchool,,0.00,,Broke,1,f,68
81,Eva,Perez,F,41,GradeSchool,,0.00,,Poor,4,f,38
82,Maria,Diaz,F,31,GradeSchool,,0.00,,Poor,1,f,32
83,Ricardo,Castillo,M,21,HighSchool,,0.00,,Poor,2,f,49
84,Isabella,Cruz,F,39,GradeSchool,,0.00,,Broke,1,f,48
85,Antonio,Gomez,M,28,HighSchool,,0.00,,Poor,4,f,63
86,Che,Perez,M,29,HighSchool,,0.00,,Poor,2,f,70
87,Marta,Diaz,F,49,Illiterate,,0.00,,Broke,1,t,21
88,Javier,Castillo,M,59,Illiterate,,0.00,,Broke,4,f,39
89,Valeria,Gomez,F,39,GradeSchool,,0.00,,Poor,1,f,41
90,Carlos,Perez,M,29,HighSchool,,0.00,,Poor,3,f,65
91,Maria,Diaz,F,49,Illiterate,,0.00,,Broke,2,f,28
92,Isabella,Cruz,F,39,GradeSchool,,0.00,,Poor,3,f,44
93,Frida,Castillo,F,29,HighSchool,,0.00,,Poor,1,f,58
94,Kai,Sol,N,26,HighSchool,,0.00,,Poor,1,f,59
