id;first_name;last_name;gender; age;education_level;salary;wealth_level;is_rebel;happiness_total
1;El Presidente;Tropico;M;45;College;100.0;Rich;false;0
2;Penultimo;Segretario;M;35;HighSchool;20.0;Well-off;false;80
3;Ricardo;Gomez;M;27;Illiterate;8.0;Poor;false;58
4;Maria;Cruz;F;35;Illiterate;8.0;Poor;false;55
5;Javier;Morales;M;41;Illiterate;8.0;Poor;false;48
6;Sofia;Reyes;F;22;GradeSchool;9.0;Poor;false;65
7;Carlos;Diaz;M;33;Illiterate;8.0;Broke;false;41
8;Lucia;Castillo;F;29;GradeSchool;9.0;Broke;false;58
9;Miguel;Ortega;M;50;Illiterate;8.0;Broke;false;39
10;Isabella;Perez;F;19;GradeSchool;9.0;Broke;false;61
11;Alejandro;Santos;M;25;Illiterate;10.0;Poor;false;68
12;Valeria;Jimenez;F;38;GradeSchool;11.0;Poor;false;61
13;Hector;Moreno;M;45;Illiterate;10.0;Broke;true;15
14;Elena;Ruiz;F;62;Illiterate;10.0;Broke;false;33
15;Fidel;Castro;M;55;College;0.0;Poor;false;50
16;Eva;Peron;F;33;HighSchool;0.0;Well-off;false;68
17;Augusto;Pinochet;M;65;College;0.0;Rich;false;45
18;Frida;Kahlo;F;47;College;0.0;Well-off;false;75
19;Diego;Rivera;M;58;College;0.0;Well-off;false;73
20;Penelope;Cruz;F;28;HighSchool;0.0;Poor;false;62
21;Antonio;Banderas;M;42;HighSchool;0.0;Poor;false;66
22;Juan;Garcia;M;25;GradeSchool;0.0;Poor;false;52
23;Carmen;Rodriguez;F;41;Illiterate;0.0;Broke;false;43
24;Jose;Martinez;M;36;HighSchool;0.0;Poor;false;58
25;Ana;Lopez;F;22;HighSchool;0.0;Poor;false;61
26;Francisco;Hernandez;M;53;Illiterate;0.0;Broke;false;38
27;Laura;Gonzalez;F;30;GradeSchool;0.0;Poor;false;55
28;David;Sanchez;M;28;College;0.0;Well-off;false;70
29;Paula;Romero;F;19;GradeSchool;0.0;Poor;false;49
30;Daniel;Sosa;M;48;Illiterate;0.0;Broke;true;20
31;Sara;Navarro;F;34;HighSchool;0.0;Poor;false;64
32;Javier;Gomez;M;54;Illiterate;0.0;Broke;false;34
33;Ricardo;Perez;M;63;Illiterate;0.0;Broke;false;51
34;Che;Gomez;M;24;HighSchool;0.0;Poor;false;61
35;Maria;Cruz;F;67;Illiterate;0.0;Broke;false;28
36;Eva;Ramirez;F;29;GradeSchool;0.0;Broke;false;33
37;Valeria;Morales;F;41;GradeSchool;0.0;Poor;false;53
38;Marta;Perez;F;28;HighSchool;0.0;Poor;false;49
39;Raul;Gomez;M;51;GradeSchool;0.0;Broke;false;64
40;Elena;Gomez;F;58;Illiterate;0.0;Broke;false;69
41;Javier;Gomez;M;23;HighSchool;0.0;Poor;false;31
42;Maria;Castillo;F;78;Illiterate;0.0;Broke;false;30
43;Valeria;Gomez;F;28;HighSchool;0.0;Well-off;false;50
44;Hector;Diaz;M;67;Illiterate;0.0;Broke;false;52
45;Francisco;Cruz;M;48;GradeSchool;0.0;Poor;false;24
46;Ricardo;Perez;M;79;Illiterate;0.0;Broke;false;33
47;Isabella;Diaz;F;29;HighSchool;0.0;Poor;false;61
48;Manuel;Gomez;M;41;Illiterate;0.0;Broke;false;48
49;Carlos;Perez;M;78;Illiterate;0.0;Broke;false;44
50;Juana;Gomez;F;29;HighSchool;0.0;Poor;false;61
51;Ana;Perez;F;51;Illiterate;0.0;Broke;false;71
52;Antonio;Gomez;M;61;Illiterate;0.0;Broke;false;44
53;Che;Perez;M;42;Illiterate;0.0;Broke;false;68
54;Maria;Cruz;F;58;GradeSchool;0.0;Poor;false;56
55;Javier;Castillo;M;28;HighSchool;0.0;Poor;false;39
56;Valeria;Gomez;F;31;GradeSchool;0.0;Poor;false;50
57;Carlos;Perez;M;37;GradeSchool;0.0;Poor;false;61
58;Eva;Diaz;F;37;GradeSchool;0.0;Poor;false;32
59;Isabella;Perez;F;29;GradeSchool;0.0;Poor;false;41
60;Frida;Castillo;F;24;HighSchool;0.0;Poor;false;66
61;Ricardo;Cruz;M;28;HighSchool;0.0;Poor;false;71
62;Marta;Gomez;F;78;Illiterate;0.0;Broke;false;63
63;Javier;Diaz;M;28;HighSchool;0.0;Poor;false;30
64;Che;Perez;M;25;HighSchool;0.0;Well-off;false;33
65;Antonio;Castillo;M;31;GradeSchool;0.0;Poor;false;60
66;Ricardo;Diaz;M;25;HighSchool;0.0;Well-off;false;35
67;Ricardo;Perez;M;20;GradeSchool;0.0;Poor;false;48
68;Maria;Gomez;F;32;GradeSchool;0.0;Broke;false;67
69;Che;Castillo;M;61;Illiterate;0.0;Broke;false;68
70;Raul;Perez;M;41;Illiterate;0.0;Broke;false;24
71;Eva;Diaz;F;51;GradeSchool;0.0;Poor;false;29
72;Javier;Gomez;M;28;HighSchool;0.0;Poor;false;63
73;Maria;Castillo;F;25;HighSchool;0.0;Poor;false;55
74;Ricardo;Diaz;M;69;Illiterate;0.0;Broke;false;31
75;Valeria;Perez;F;29;HighSchool;0.0;Poor;false;30
76;Marta;Gomez;F;44;Illiterate;0.0;Broke;false;48
77;Antonio;Cruz;M;54;Illiterate;0.0;Broke;false;49
78;Che;Diaz;M;28;HighSchool;0.0;Poor;false;37
79;Javier;Castillo;M;79;Illiterate;0.0;Broke;false;39
80;Frida;Gomez;F;51;GradeSchool;0.0;Broke;false;68
81;Eva;Perez;F;41;GradeSchool;0.0;Poor;false;38
82;Maria;Diaz;F;31;GradeSchool;0.0;Poor;false;32
83;Ricardo;Castillo;M;21;HighSchool;0.0;Poor;false;49
84;Isabella;Cruz;F;39;GradeSchool;0.0;Broke;false;48
85;Antonio;Gomez;M;28;HighSchool;0.0;Poor;false;63
86;Che;Perez;M;29;HighSchool;0.0;Poor;false;70
87;Marta;Diaz;F;49;Illiterate;0.0;Broke;true;21
88;Javier;Castillo;M;59;Illiterate;0.0;Broke;false;39
89;Valeria;Gomez;F;39;GradeSchool;0.0;Poor;false;41
90;Carlos;Perez;M;29;HighSchool;0.0;Poor;false;65
91;Maria;Diaz;F;49;Illiterate;0.0;Broke;false;28
